,title,text,label
266,"The vaccine was created in Australia to combat Covid-19, and the only country in the world to have bought it is Switzerland","The vaccine was created in Australia to combat Covid-19, and the only country in the world to have bought it is Switzerland",FAKE
267,"Taking six doses of the vaccine would give protection from the virus for a year, and was available for 50 euros via an email address given in the leaflet","Taking six doses of the vaccine would give protection from the virus for a year, and was available for 50 euros via an email address given in the leaflet",FAKE
270,You should gargle with disinfectant to stop the virus entering the lungs,You should gargle with disinfectant to stop the virus entering the lungs,FAKE
282,"The coronavirus was part of a ""hybrid warfare"" programme waged by the US on China and Iran","The coronavirus was part of a ""hybrid warfare"" programme waged by the US on China and Iran",FAKE
284,The Covid-19 is a bioweapon and planned,The Covid-19 is a bioweapon and planned,FAKE
289,"You should avoid spicy food and load up on vitamin C"" in order to prevent the disease","You should avoid spicy food and load up on vitamin C"" in order to prevent the disease",FAKE
292,"WHO suggests only avoiding consuming ""raw or undercooked animal products""","WHO suggests only avoiding consuming ""raw or undercooked animal products""",TRUE
294,The Bill & Melinda Gates Foundation is a donor to both Pirbright and vaccine development to suggest that the current outbreak virus has somehow been deliberately manufactured to attract funding for the development of a vaccine,The Bill & Melinda Gates Foundation is a donor to both Pirbright and vaccine development to suggest that the current outbreak virus has somehow been deliberately manufactured to attract funding for the development of a vaccine,FAKE
295,The coronavirus started in a secret lab,The coronavirus started in a secret lab,FAKE
298,Tests run by the university’s laboratory had found “strong evidence that ibuprofen accelerates the multiplication of the virus,Tests run by the university’s laboratory had found “strong evidence that ibuprofen accelerates the multiplication of the virus,FAKE
305,The 14 hour-long self imposed curfew will break the chain of transmission as the lifespan of the novel Coronavirus is 12 hours,The 14 hour-long self imposed curfew will break the chain of transmission as the lifespan of the novel Coronavirus is 12 hours,FAKE
309,The NHS has warned people should not shake hands to prevent the spread of the Wuhan coronavirus,The NHS has warned people should not shake hands to prevent the spread of the Wuhan coronavirus,FAKE
310,"Wuhan, China, the centre of the new coronavirus outbreak, was where 5G was first rolled out. It suggests that 5G has damaged peoples�?immune systems and so boosted the virulence of the common cold","Wuhan, China, the centre of the new coronavirus outbreak, was where 5G was first rolled out. It suggests that 5G has damaged peoples�?immune systems and so boosted the virulence of the common cold",FAKE
317,Video of Canada PM Justin Trudeau’s wife pleading people to take COVID-19 seriously,Video of Canada PM Justin Trudeau’s wife pleading people to take COVID-19 seriously,FAKE
319,"There are four young people with no underlying illnesses in an intensive care unit in Cork due to Covid-19, who had all been taking anti-inflammatory drugs","There are four young people with no underlying illnesses in an intensive care unit in Cork due to Covid-19, who had all been taking anti-inflammatory drugs",FAKE
320,The French health minister warned people with the new coronavirus against taking ibuprofen,The French health minister warned people with the new coronavirus against taking ibuprofen,FAKE
322,The WHO has said that regularly rinsing your nose with saline is likely to prevent infection with the new coronavirus,The WHO has said that regularly rinsing your nose with saline is likely to prevent infection with the new coronavirus,FAKE
323,The World Health Organisation (WHO) have advised people to use contactless payments instead of cash to reduce the risk of Covid-19 transmission,The World Health Organisation (WHO) have advised people to use contactless payments instead of cash to reduce the risk of Covid-19 transmission,FAKE
324,"The WHO advises the public to wash their hands after handling money, especially if handling or eating food","The WHO advises the public to wash their hands after handling money, especially if handling or eating food",TRUE
325,Vaccines to cure Covid-19 are ready,Vaccines to cure Covid-19 are ready,FAKE
326,World Health Organization warns against eating cabbage during COVID-19 pandemic,World Health Organization warns against eating cabbage during COVID-19 pandemic,FAKE
329,The new coronavirus is 400-500 micro and for this reason wide enough to be stopped by masks,The new coronavirus is 400-500 micro and for this reason wide enough to be stopped by masks,FAKE
334,"To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection","To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection",FAKE
337,The NHS pays £4 billion annually in rent to private investors because of deals under Labour,The NHS pays £4 billion annually in rent to private investors because of deals under Labour,FAKE
344,"The CDC reported that between mid-February and mid-March, 20% of the hospitalizations for coronavirus were for patients age 20-44 and 18% were age 45-54","The CDC reported that between mid-February and mid-March, 20% of the hospitalizations for coronavirus were for patients age 20-44 and 18% were age 45-54",TRUE
350,Video of an emotional appeal by the COVID-19 patient in Surat who had returned from London,Video of an emotional appeal by the COVID-19 patient in Surat who had returned from London,FAKE
352,The New York Times exposed the real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances,The New York Times exposed the real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances,FAKE
356,UNHCR says refugees in Malaysia are resisting COVID-19 tests,UNHCR says refugees in Malaysia are resisting COVID-19 tests,FAKE
363,The WHO coronavirus test “was a bad test.�?,The WHO coronavirus test “was a bad test.�?,FAKE
370,Using essential oils can help cure the coronavirus,Using essential oils can help cure the coronavirus,FAKE
371,Tinctures can kill the coronavirus,Tinctures can kill the coronavirus,FAKE
376,The World Health Organization offered the testing kits that they have available and to give it to us now. We (Trump administration) refused them. We did not want to buy them,The World Health Organization offered the testing kits that they have available and to give it to us now. We (Trump administration) refused them. We did not want to buy them,FAKE
378,The CDC in U.S. opted to develop its own coronavirus test and did not use the WHO’s protocol for the test,The CDC in U.S. opted to develop its own coronavirus test and did not use the WHO’s protocol for the test,TRUE
379,The Clintons are responsible for more deaths than the coronavirus. Coronavirus �?22. Clintons �?39,The Clintons are responsible for more deaths than the coronavirus. Coronavirus �?22. Clintons �?39,FAKE
381,Tea can cure or alleviate novel coronavirus (COVID-19) infection,Tea can cure or alleviate novel coronavirus (COVID-19) infection,FAKE
384,The CDC can detain anyone with a fever �?indefinitely. �?Vaccination (is) a way people could get out of detention,The CDC can detain anyone with a fever �?indefinitely. �?Vaccination (is) a way people could get out of detention,FAKE
385,The CDC does have the power to isolate people with certain infectious diseases and quarantine those who had contact with an infected person,The CDC does have the power to isolate people with certain infectious diseases and quarantine those who had contact with an infected person,TRUE
387,The Simpsons' predicted Tom Hanks getting coronavirus in 2007,The Simpsons' predicted Tom Hanks getting coronavirus in 2007,FAKE
395,You can monitor yourself for COVID-19 with a breath test,You can monitor yourself for COVID-19 with a breath test,FAKE
397,The only way to test for COVID-19 right now is via laboratory testing,The only way to test for COVID-19 right now is via laboratory testing,TRUE
405,This is an advisory issued by Singapore’s Ministry of Health about the first symptoms of novel coronavirus or COVID-19,This is an advisory issued by Singapore’s Ministry of Health about the first symptoms of novel coronavirus or COVID-19,FAKE
406,Tom Hanks has a volleyball to keep him company while he’s quarantined,Tom Hanks has a volleyball to keep him company while he’s quarantined,FAKE
407,"Tom Hanks and Rita Wilson tested positive for COVID-19 in Australia, where Hanks is shooting a movie","Tom Hanks and Rita Wilson tested positive for COVID-19 in Australia, where Hanks is shooting a movie",TRUE
408,The health insurance industry in U.S. has “agreed to waive all co-payments for coronavirus treatments.�?,The health insurance industry in U.S. has “agreed to waive all co-payments for coronavirus treatments.�?,FAKE
411,Whole of Italy goes into quarantine,Whole of Italy goes into quarantine,TRUE
414,"The Itali government’s extraordinary measures, announced at Palazzo Chigi late on 9 March, comes amid a worsening of the coronavirus outbreak. The new stringent measures, covering the entire country, and would take effect tomorrow morning","The Itali government’s extraordinary measures, announced at Palazzo Chigi late on 9 March, comes amid a worsening of the coronavirus outbreak. The new stringent measures, covering the entire country, and would take effect tomorrow morning",TRUE
421,Three Maryland coronavirus patients fully recovered and are able to return to everyday life,Three Maryland coronavirus patients fully recovered and are able to return to everyday life,TRUE
424,The number of new cases in South Korea is declining,The number of new cases in South Korea is declining,TRUE
428,Trump shakes hands with CPAC Chairman �?President Trump has come into contact with a potential coronavirus sufferer,Trump shakes hands with CPAC Chairman �?President Trump has come into contact with a potential coronavirus sufferer,FAKE
429,The coronavirus was invented and patented in the USA and then planted in China,The coronavirus was invented and patented in the USA and then planted in China,FAKE
434,"The coronavirus discovered in Wuhan, China, was staged to cover-up the public health crisis caused by the intensive 5G roll-out in Wuhan in 2019","The coronavirus discovered in Wuhan, China, was staged to cover-up the public health crisis caused by the intensive 5G roll-out in Wuhan in 2019",FAKE
436,The media pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus,The media pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus,FAKE
440,There is a coronavirus-related travel page that provides guidance for international travelers,There is a coronavirus-related travel page that provides guidance for international travelers,FAKE
441,"The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th","The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th",FAKE
443,The Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive,The Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive,FAKE
448,The United States is actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing,The United States is actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing,TRUE
449,"The blood test for coronavirus costs $3,200","The blood test for coronavirus costs $3,200",FAKE
451,"Trump’s White House already said I won’t be able to afford the vaccine. If I can’t afford the test and I can’t afford the treatment, am I just supposed to die. This is exactly why I support healthcare as a human right","Trump’s White House already said I won’t be able to afford the vaccine. If I can’t afford the test and I can’t afford the treatment, am I just supposed to die. This is exactly why I support healthcare as a human right",FAKE
452,"Tulsa County's first positive Covid-19 case has recovered. This individual has had two negative tests, which is the indicator of recovery","Tulsa County's first positive Covid-19 case has recovered. This individual has had two negative tests, which is the indicator of recovery",TRUE
453,"Two patients at Valley Regional Medical Center in Brownsville, Texas, are being looked at for possible coronavirus infections","Two patients at Valley Regional Medical Center in Brownsville, Texas, are being looked at for possible coronavirus infections",FAKE
466,"The vaccine for cattle will help humans, and protect against this new form of coronavirus","The vaccine for cattle will help humans, and protect against this new form of coronavirus",FAKE
471,The CDC recommends men shave their beards to protect against coronavirus,The CDC recommends men shave their beards to protect against coronavirus,FAKE
479,The Chinese government has ordered for the swift cremation of patients who die after contracting the coronavirus,The Chinese government has ordered for the swift cremation of patients who die after contracting the coronavirus,TRUE
488,When using a medical mask you’re supposed to use�?white side out (this is the filter part) for when you’re not sick,When using a medical mask you’re supposed to use�?white side out (this is the filter part) for when you’re not sick,FAKE
490,You should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy,You should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy,FAKE
491,The 2019 coronavirus causes sudden death syndrome,The 2019 coronavirus causes sudden death syndrome,FAKE
492,The coronavirus is a MILITARY BIO-WEAPON Developed by China's Army,The coronavirus is a MILITARY BIO-WEAPON Developed by China's Army,FAKE
493,"The world is now facing a massive wipe-out of humanity. The proof that this virus is a genetically-modified Bat-SARS-Like Virus, manipulated by the Chinese Army, appears below. The evidence is irrefutable","The world is now facing a massive wipe-out of humanity. The proof that this virus is a genetically-modified Bat-SARS-Like Virus, manipulated by the Chinese Army, appears below. The evidence is irrefutable",FAKE
494,"The virus somehow escaped from the Wuhan lab, which deals with some of the world’s most dangerous pathogens, such as Ebola and the Severe Acute Respiratory Syndrome coronavirus","The virus somehow escaped from the Wuhan lab, which deals with some of the world’s most dangerous pathogens, such as Ebola and the Severe Acute Respiratory Syndrome coronavirus",FAKE
496,The coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills,The coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills,FAKE
499,You can call the phone number on the back of a baby formula product to receive a free case during COVID-19 pandemic,You can call the phone number on the back of a baby formula product to receive a free case during COVID-19 pandemic,FAKE
502,Video shows COVID-19 patient struggling to breathe at a hospital in India,Video shows COVID-19 patient struggling to breathe at a hospital in India,FAKE
505,The IOC said Thursday it is “not aware of any link�?between an Olympic boxing tournament it oversaw in London this month and positive coronavirus tests for people who were there,The IOC said Thursday it is “not aware of any link�?between an Olympic boxing tournament it oversaw in London this month and positive coronavirus tests for people who were there,TRUE
519,UFC President Dana White emphatically refuted reports that the company was laying off workers in the middle of the coronavirus pandemic on Wednesday,UFC President Dana White emphatically refuted reports that the company was laying off workers in the middle of the coronavirus pandemic on Wednesday,TRUE
529,The Senate on Wednesday passed an unprecedented $2 trillion stimulus package to provide health care and economic aid amid the coronavirus outbreak and national shutdown of American daily life,The Senate on Wednesday passed an unprecedented $2 trillion stimulus package to provide health care and economic aid amid the coronavirus outbreak and national shutdown of American daily life,TRUE
531,US Navy ship headed to Los Angeles for coronavirus relief: Here's a look inside,US Navy ship headed to Los Angeles for coronavirus relief: Here's a look inside,TRUE
532,Three American couples that arrived in India earlier this month to finalize long-awaited adoptions are now suddenly stuck in the country until at least April 15 because of the newly implemented national coronavirus lockdown,Three American couples that arrived in India earlier this month to finalize long-awaited adoptions are now suddenly stuck in the country until at least April 15 because of the newly implemented national coronavirus lockdown,TRUE
542,"The Pentagon said Thursday cases of the novel coronavirus have quadrupled in the U.S. military since last week, with more than 280 service members now infected around the world","The Pentagon said Thursday cases of the novel coronavirus have quadrupled in the U.S. military since last week, with more than 280 service members now infected around the world",TRUE
547,The Department of Health and Human Services on Thursday implemented President Trump’s executive order to prevent the hoarding of certain health and medical resources necessary to respond to the coronavirus outbreak,The Department of Health and Human Services on Thursday implemented President Trump’s executive order to prevent the hoarding of certain health and medical resources necessary to respond to the coronavirus outbreak,TRUE
554,The final version of the Senate’s coronavirus stimulus package left out billions of dollars that had been planned for the Department of Energy to go toward replenishing the nation’s Strategic Petroleum Reserve,The final version of the Senate’s coronavirus stimulus package left out billions of dollars that had been planned for the Department of Energy to go toward replenishing the nation’s Strategic Petroleum Reserve,TRUE
556,"Taylor Swift, Ariana Grande send donations to fans affected by coronavirus. Two of the world's biggest pop stars are giving back to their fans as the coronavirus pandemic has left many out of work and without paychecks","Taylor Swift, Ariana Grande send donations to fans affected by coronavirus. Two of the world's biggest pop stars are giving back to their fans as the coronavirus pandemic has left many out of work and without paychecks",TRUE
566,The $2 trillion spending package to boost the economy in response to the coronavirus crisis includes a $350 million pot of money for “Migration and Refugee Assistance�?-- the latest item in the legislative behemoth that is angering critics,The $2 trillion spending package to boost the economy in response to the coronavirus crisis includes a $350 million pot of money for “Migration and Refugee Assistance�?-- the latest item in the legislative behemoth that is angering critics,TRUE
569,"With Amazon under fire for allegedly unsafe conditions in its distribution centers and warehouses in the U.S. and Europe, another worker at the Jeff Bezos-led company has tested positive for coronavirus","With Amazon under fire for allegedly unsafe conditions in its distribution centers and warehouses in the U.S. and Europe, another worker at the Jeff Bezos-led company has tested positive for coronavirus",TRUE
570,WNBA draft will be virtual event this season due to pandemic,WNBA draft will be virtual event this season due to pandemic,TRUE
572,"US needs to be prepared for second wave of coronavirus outbreak, Dr. Fauci warns","US needs to be prepared for second wave of coronavirus outbreak, Dr. Fauci warns",TRUE
577,Zimbabwe reported its first positive COVID-19 test on March 16,Zimbabwe reported its first positive COVID-19 test on March 16,FAKE
579,Texas included abortion among unnecessary medical procedures it ordered stopped to conserve medical resources during the coronavirus pandemic,Texas included abortion among unnecessary medical procedures it ordered stopped to conserve medical resources during the coronavirus pandemic,TRUE
580,The NHL announced Wednesday it postponed three events slated for June because of the growing uncertainty around the impact the coronavirus will have on the league,The NHL announced Wednesday it postponed three events slated for June because of the growing uncertainty around the impact the coronavirus will have on the league,TRUE
591,"The United States ""refused"" COVID-19 diagnostic tests offered by the World Health Organization","The United States ""refused"" COVID-19 diagnostic tests offered by the World Health Organization",FAKE
599,"The Environmental Protection Agency (EPA) suspended its enforcement of a variety of environmental laws on Thursday, saying that industries could have trouble complying with them due to the coronavirus pandemic.T","The Environmental Protection Agency (EPA) suspended its enforcement of a variety of environmental laws on Thursday, saying that industries could have trouble complying with them due to the coronavirus pandemic.T",TRUE
605,The Department of Homeland Security announced Thursday it would be delaying the deadline for Americans to apply and receive a REAL ID-- a driver's license with a gold star in the top right corner-- due to the coronavirus pandemic,The Department of Homeland Security announced Thursday it would be delaying the deadline for Americans to apply and receive a REAL ID-- a driver's license with a gold star in the top right corner-- due to the coronavirus pandemic,TRUE
612,Video shows policemen arrested patients of COVID-19 in Punjab,Video shows policemen arrested patients of COVID-19 in Punjab,FAKE
